"Word","PhoWord","Length_Ortho","Length_Phono","Freq_per_million","OTHN","PTHN"
"abeja","a.B.e.x.a",5,5,7.476,1,1
"agua","a.G.w.a",4,4,249.9279,0,0
"grifo","g.4.i.f.o",5,5,2.1875,1,3
"ensalada","E.n.s.a.l.a.D.a",8,8,23.0048,0,0
"botella","b.o.t.e.L.a",7,6,43.0769,0,0
"merienda","m.E.4.i.E.n.d.a",8,8,1.5625,0,0
"biber�n","b.i.B.E.4.o.n",7,7,1.8029,0,1
"bici","b.i.T.i",4,4,5.1923,0,1
"boca","b.o.k.a",4,4,137.9808,0,0
"bol","b.o.l",3,3,1.4663,5,10
"pa�al","p.a.J.a.l",5,5,3.9183,0,0
"bot�n","b.o.t.o.n",5,5,22.2356,0,0
"buey","b.w.eI",4,3,1.9231,1,0
"caja","k.a.x.a",4,4,112.4519,4,4
"pierna","p.j.E.4.n.a",6,6,51.5144,1,1
"camisa","k.a.m.i.s.a",6,6,46.274,0,0
"casa","k.a.s.a",4,4,1378.2933,0,0
"caballo","k.a.B.a.L.o",7,6,62.1635,1,1
"cereza","T.E.4.E.T.a",6,6,4.8317,2,0
"paloma","p.a.l.o.m.a",6,6,6.1298,0,0
"corona","k.o.4.o.n.a",6,6,13.1731,0,0
"coche","k.o.tS.e",5,4,115.649,1,1
"gusano","g.u.s.a.n.o",6,6,10.0962,0,0
"dedo","d.e.D.o",4,4,45.7933,3,5
"bocadillo","b.o.k.a.D.i.L.o",9,8,4.6875,1,1
"esponja","e.s.p.o.N.x.a",7,7,7.0433,0,0
"estrella","e.s.t.4.e.L.a",8,7,61.0577,0,0
"avestruz","a.B.e.s.t.4.u.T",8,8,0.84135,0,0
"flor","f.l.o.4",4,4,16.6346,1,1
"hormiga","o.4.m.i.G.a",7,6,2.6442,1,1
"tenedor","t.e.n.e.D.o.4",7,7,5.9856,0,0
"hoja","o.x.a",4,3,13.2212,5,8
"galleta","g.a.L.e.t.a",7,6,11.274,1,1
"cubo","k.u.B.o",4,4,8.101,6,7
"gato","g.a.t.o",4,4,53.9904,1,2
"c�sped","T.E.s.p.e.d",6,6,14.2548,0,0
"jirafa","x.i.4.a.f.a",6,6,1.9712,0,0
"globo","g.l.o.B.o",5,5,11.6346,1,1
"gorra","g.o.r.r.a",5,5,8.75,2,2
"vaso","b.a.s.o",4,4,26.0577,3,8
"guitarra","g.i.t.a.r.r.a",8,7,17.5962,0,0
"le�n","l.e.o.n",4,4,17.5962,0,1
"libro","l.i.B.4.o",5,5,159.7356,0,0
"loro","l.o.4.o",4,4,4.0625,9,11
"luna","l.u.n.a",4,4,66.0096,1,1
"mano","m.a.n.o",4,4,255.9615,1,1
"mono","m.o.n.o",4,4,33.125,2,2
"espejo","e.s.p.e.x.o",6,6,28.2212,1,0
"moneda","m.o.n.e.D.a",6,6,18.0288,0,0
"moto","m.o.t.o",4,4,17.1394,7,8
"b�ho","b.u.o",4,3,2.0673,0,4
"nariz","n.a.4.i.T",5,5,53.8702,0,0
"oreja","o.4.E.x.a",5,5,15.6731,0,0
"oveja","o.B.e.x.a",5,5,6.3221,1,1
"pan","p.a.n",3,3,48.2452,8,8
"mariposa","m.a.4.i.p.o.s.a",8,8,6.7067,0,0
"patata","p.a.t.a.t.a",6,6,2.7163,2,2
"jam�n","x.a.m.o.n",5,5,8.6058,2,2
"pierna","p.j.E.4.n.a",6,6,51.5144,1,1
"planta","p.l.a.n.t.a",6,6,26.6587,2,2
"plato","p.l.a.t.o",5,5,27.7644,1,1
"pluma","p.l.u.m.a",5,5,10.9615,0,0
"pollo","p.o.L.o",5,4,47.2837,0,2
"manzana","m.a.n.T.a.n.a",7,7,18.9663,0,0
"cerdo","T.E.4.d.o",5,5,40.024,0,0
"puerta","p.w.E.4.t.a",6,6,328.8702,0,0
"cepillo","T.e.p.i.L.o",7,6,9.4712,0,0
"camiseta","k.a.m.i.s.e.t.a",8,8,20.649,0,0
"sol","s.o.l",3,3,88.1971,5,5
"naranja","n.a.4.a.N.x.a",7,7,18.774,0,0
"tijeras","t.i.x.E.4.a.s",7,7,6.899,1,1
"tobog�n","t.o.B.o.G.a.n",7,7,1.2981,0,0
"tomate","t.o.m.a.t.e",6,6,9.9038,3,2
"tren","t.4.E.n",4,4,70.9856,2,1
"ojo","o.x.o",3,3,64.8317,2,4
"gafas","g.a.f.a.s",5,5,11.3942,1,1
"u�a","u.J.a",3,3,3.7019,4,4
"barco","b.a.4.k.o",5,5,84.976,0,0
"chocolate","tS.o.k.o.l.a.t.e",9,8,47.1154,0,0
"cebra","T.e.B.4.a",5,5,1.8029,4,0
"�rbol","a.4.B.o.l",5,5,52.5481,0,0
"chaqueta","tS.a.k.e.t.a",8,6,37.6202,0,0
"ola","o.l.a",3,3,14.9519,6,6
"ping�ino","p.i.N.g.u.i.n.o",8,8,3.75,0,0
"tigre","t.i.G.4.e",5,5,11.7308,0,0
"avestruz","a.B.e.s.t.4.u.T",8,8,0.84135,0,0
"barco","b.a.4.k.o",5,5,84.976,0,0
"biber�n","b.i.B.E.4.o.n",7,7,1.8029,0,1
"bici","b.i.T.i",4,4,5.1923,0,1
"boca","b.o.k.a",4,4,137.9808,0,0
"bocadillo","b.o.k.a.D.i.L.o",9,8,4.6875,1,1
"bol","b.o.l",3,3,1.4663,5,10
"botella","b.o.t.e.L.a",7,6,43.0769,0,0
"bot�n","b.o.t.o.n",5,5,22.2356,0,0
"brazo","b.4.a.T.o",5,5,55.7212,0,0
"b�ho","b.u.o",4,3,2.0673,0,4
"burro","b.u.r.r.o",5,5,9.4712,0,0
"caballo","k.a.B.a.L.o",7,6,62.1635,1,1
"caja","k.a.x.a",4,4,112.4519,4,4
"calcet�n","k.a.l.T.e.t.i.n",8,8,2.5,0,0
"camisa","k.a.m.i.s.a",6,6,46.274,0,0
"camiseta","k.a.m.i.s.e.t.a",8,8,20.649,0,0
"caracol","k.a.4.a.k.o.l",7,7,2.3798,0,0
"cebra","T.e.B.4.a",5,5,1.8029,4,0
"cepillo","T.e.p.i.L.o",7,6,9.4712,0,0
"cerdo","T.E.4.d.o",5,5,40.024,0,0
"cereza","T.E.4.E.T.a",6,6,4.8317,2,0
"cesta","T.e.s.t.a",5,5,3.7019,3,2
"chocolate","tS.o.k.o.l.a.t.e",9,8,47.1154,0,0
"cielo","T.j.e.l.o",5,5,144.9279,0,0
"coche","k.o.tS.e",5,4,115.649,1,1
"corona","k.o.4.o.n.a",6,6,13.1731,0,0
"cubo","k.u.B.o",4,4,8.101,6,7
"cuchara","k.u.tS.a.4.a",7,6,7.0433,0,0
"dedo","d.e.D.o",4,4,45.7933,3,5
"ensalada","E.n.s.a.l.a.D.a",8,8,23.0048,0,0
"esponja","e.s.p.o.N.x.a",7,7,7.0433,0,0
"estrella","e.s.t.4.e.L.a",8,7,61.0577,0,0
"flor","f.l.o.4",4,4,16.6346,1,1
"frambuesa","f.4.a.m.b.w.e.s.a",9,9,1.8029,0,0
"gafas","g.a.f.a.s",5,5,11.3942,1,1
"galleta","g.a.L.e.t.a",7,6,11.274,1,1
"gallina","g.a.L.i.n.a",7,6,14.6154,0,0
"gato","g.a.t.o",4,4,53.9904,1,2
"globo","g.l.o.B.o",5,5,11.6346,1,1
"gorri�n","g.o.r.r.i.o.n",7,7,0.86538,0,0
"gorro","g.o.r.r.o",5,5,3.8702,5,4
"grifo","g.4.i.f.o",5,5,2.1875,1,3
"guitarra","g.i.t.a.r.r.a",8,7,17.5962,0,0
"gusano","g.u.s.a.n.o",6,6,10.0962,0,0
"hormiga","o.4.m.i.G.a",7,6,2.6442,1,1
"jirafa","x.i.4.a.f.a",6,6,1.9712,0,0
"ladrillo","l.a.D.4.i.L.o",8,7,5.4327,0,0
"l�piz","l.a.p.i.T",5,5,14.8317,0,0
"leche","l.e.tS.e",5,4,48.0048,0,1
"lengua","l.E.N.g.w.a",6,6,39.8798,0,0
"le�n","l.e.o.n",4,4,17.5962,0,1
"libro","l.i.B.4.o",5,5,159.7356,0,0
"loro","l.o.4.o",4,4,4.0625,9,11
"luna","l.u.n.a",4,4,66.0096,1,1
"mano","m.a.n.o",4,4,255.9615,1,1
"manzana","m.a.n.T.a.n.a",7,7,18.9663,0,0
"mariposa","m.a.4.i.p.o.s.a",8,8,6.7067,0,0
"martillo","m.a.4.t.i.L.o",8,7,11.9471,0,0
"mesa","m.e.s.a",4,4,109.6154,1,1
"moneda","m.o.n.e.D.a",6,6,18.0288,0,0
"mono","m.o.n.o",4,4,33.125,2,2
"moto","m.o.t.o",4,4,17.1394,7,8
"mu�eca","m.u.J.e.k.a",6,6,29.7837,0,0
"naranja","n.a.4.a.N.x.a",7,7,18.774,0,0
"nariz","n.a.4.i.T",5,5,53.8702,0,0
"ombligo","o.m.b.l.i.G.o",7,7,3.125,0,0
"osito","o.s.i.t.o",5,5,5.3125,0,0
"oveja","o.B.e.x.a",5,5,6.3221,1,1
"p�jaro","p.a.x.a.4.o",6,6,23.125,0,0
"pan","p.a.n",3,3,48.2452,8,8
"pa�al","p.a.J.a.l",5,5,3.9183,0,0
"pantal�n","p.a.n.t.a.l.o.n",8,8,7.5962,0,0
"pastel","p.a.s.t.e.l",6,6,54.6394,0,0
"patata","p.a.t.a.t.a",6,6,2.7163,2,2
"pato","p.a.t.o",4,4,14.9038,11,14
"pelota","p.e.l.o.t.a",6,6,40.4808,0,0
"perro","p.E.r.r.o",5,5,166.1779,1,0
"pez","p.e.T",3,3,26.899,2,2
"pie","p.j.e",3,3,103.4135,0,0
"pierna","p.j.E.4.n.a",6,6,51.5144,1,1
"pl�tano","p.l.a.t.a.n.o",7,7,3.101,0,0
"plato","p.l.a.t.o",5,5,27.7644,1,1
"pluma","p.l.u.m.a",5,5,10.9615,0,0
"pollo","p.o.L.o",5,4,47.2837,0,2
"puerta","p.w.E.4.t.a",6,6,328.8702,0,0
"sol","s.o.l",3,3,88.1971,5,5
"tambor","t.a.m.b.o.4",6,6,4.6635,0,0
"tenedor","t.e.n.e.D.o.4",7,7,5.9856,0,0
"tijeras","t.i.x.E.4.a.s",7,7,6.899,1,1
"tobog�n","t.o.B.o.G.a.n",7,7,1.2981,0,0
"tomate","t.o.m.a.t.e",6,6,9.9038,3,2
"toro","t.o.4.o",4,4,11.7788,5,8
"tren","t.4.E.n",4,4,70.9856,2,1
"ventana","b.E.n.t.a.n.a",7,7,73.2212,0,0
"zanahoria","T.a.n.a.o.4.i.a",9,8,3.2692,1,1
"�rbol","a.4.B.o.l",5,5,52.5481,0,0
"chaqueta","tS.a.k.e.t.a",8,6,37.6202,0,0
"ola","o.l.a",3,3,14.9519,6,6
"ping�ino","p.i.N.g.u.i.n.o",8,8,3.75,0,0
"tigre","t.i.G.4.e",5,5,11.7308,0,0
"bolígrafo","b.o.l.i.G.4.a.f.o",9,9,8.3173,0,0
"sándwich","s.a.n.d.w.i.tS",8,7,25.649,0,0
